,descriptif
0,Allemand
1,Français
2,Français
3,Allemand
4,Français
5,Français
6,Allemand
7,Français
8,Polonais
9,Français
10,Anglais
11,Français
12,Anglais
13,Français
14,Français
15,Français
16,Français
17,Anglais
18,Anglais
19,Français
20,Français
21,Allemand
22,Français
23,Anglais
24,Français
25,Français
26,Français
27,Français
28,Français
29,Français
30,Français
31,Anglais
32,Français
33,Anglais
34,Anglais
35,Anglais
36,Français
37,Français
38,Français
39,Français
40,Français
41,Catalan
42,Français
43,Français
44,Français
45,Français
46,Français
47,Anglais
48,Allemand
49,Français
50,Roumain
51,Anglais
52,Français
53,Français
54,Anglais
55,Français
56,Français
57,Français
58,Roumain
59,Français
60,Français
61,Français
62,Français
63,Français
64,Français
65,Français
66,Français
67,Français
68,Français
69,Français
70,Français
71,Français
72,Français
73,Français
74,Néerlandais
75,Français
76,Français
77,Français
78,Français
79,Français
80,Français
81,Anglais
82,Français
83,Français
84,Français
85,Français
86,Français
87,Français
88,Anglais
89,Français
90,Français
91,Français
92,Anglais
93,Français
94,Français
95,Français
96,Anglais
97,Français
98,Anglais
99,Français
100,Français
101,Français
102,Espagnol
103,Français
104,Français
105,Français
106,Français
107,Français
108,Français
109,Anglais
110,Allemand
111,Français
112,Anglais
113,Français
114,Anglais
115,Français
116,Français
117,Anglais
118,Français
119,Français
120,Français
121,Français
122,Néerlandais
123,Français
124,Français
125,Français
126,Français
127,Anglais
128,Anglais
129,Français
130,Anglais
131,Allemand
132,Français
133,Français
134,Roumain
135,Français
136,Anglais
137,Français
138,Français
139,Français
140,Français
141,Français
142,Français
143,Allemand
144,Français
145,Français
146,Français
147,Français
148,Français
149,Français
150,Français
151,Français
152,Français
153,Français
154,Français
155,Anglais
156,Français
157,Français
158,Anglais
159,Français
160,Français
161,Français
162,Français
163,Allemand
164,Français
165,Anglais
166,Français
167,Français
168,Français
169,Français
170,Français
171,Français
172,Français
173,Français
174,Français
175,Français
176,Français
177,Français
178,Français
179,Français
180,Français
181,Français
182,Français
183,Français
184,Français
185,Français
186,Français
187,Français
188,Espagnol
189,Français
190,Français
191,Français
192,Français
193,Français
194,Français
195,Anglais
196,Français
197,Français
198,Français
199,Français
200,Français
201,Français
202,Anglais
203,Portugais
204,Français
205,Français
206,Français
207,Français
208,Français
209,Français
210,Anglais
211,Roumain
212,Français
213,Français
214,Anglais
215,Français
216,Français
217,Français
218,Français
219,Anglais
220,Français
221,Français
222,Anglais
223,Français
224,Français
225,Anglais
226,Français
227,Espagnol
228,Anglais
229,Anglais
230,Français
231,Français
232,Français
233,Italien
234,Français
235,Français
236,Anglais
237,Anglais
238,Français
239,Français
240,Néerlandais
241,Français
242,Français
243,Français
244,Français
245,Néerlandais
246,Français
247,Anglais
248,Français
249,Français
250,Français
251,Français
252,Anglais
253,Français
254,Français
255,Français
256,Français
257,Français
258,Français
259,Français
260,Français
261,Français
262,Français
263,Français
264,Français
265,Français
266,Français
267,Français
268,Français
269,Français
270,Français
271,Anglais
272,Français
273,Français
274,Français
275,Français
276,Français
277,Allemand
278,Français
279,Anglais
280,Français
281,Français
282,Anglais
283,Français
284,Français
285,Tagalog
286,Anglais
287,Français
288,Anglais
289,Français
290,Français
291,Français
292,Portugais
293,Français
294,Français
295,Français
296,Français
297,Français
298,Français
299,Français
300,Anglais
301,Français
302,Anglais
303,Français
304,Norvégien
305,Français
306,Français
307,Français
308,Catalan
309,Français
310,Français
311,Français
312,Français
313,Français
314,Français
315,Français
316,Français
317,Français
318,Allemand
319,Français
320,Français
321,Français
322,Anglais
323,Français
324,Anglais
325,Français
326,Français
327,Anglais
328,Français
329,Français
330,Anglais
331,Anglais
332,Français
333,Français
334,Français
335,Anglais
336,Français
337,Français
338,Français
339,Anglais
340,Français
341,Français
342,Français
343,Français
344,Français
345,Français
346,Français
347,Indonésien
348,Anglais
349,Anglais
350,Français
351,Français
352,Français
353,Français
354,Français
355,Français
356,Français
357,Français
358,Français
359,Français
360,Français
361,Français
362,Français
363,Français
364,Anglais
365,Français
366,Anglais
367,Français
368,Français
369,Français
370,Français
371,Français
372,Néerlandais
373,Français
374,Français
375,Français
376,Français
377,Français
378,Français
379,Français
380,Français
381,Anglais
382,Allemand
383,Français
384,Français
385,Français
386,Français
387,Français
388,Norvégien
389,Portugais
390,Anglais
391,Français
392,Français
393,Français
394,Français
395,Roumain
396,Anglais
397,Français
398,Français
399,Français
400,Anglais
401,Français
